        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
           793.21520             0.99390            -0.34978             0.00000             0.00000             1.12123            -0.62123
           796.04306             0.99461            -0.35022             0.00000             0.00000             1.12234            -0.62234
           798.87093             0.99533            -0.35066             0.00000             0.00000             1.12344            -0.62344
           801.69879             0.99604            -0.35110             0.00000             0.00000             1.12454            -0.62454
           804.52665             0.99675            -0.35154             0.00000             0.00000             1.12564            -0.62564
           807.35451             0.99746            -0.35198             0.00000             0.00000             1.12674            -0.62674
           810.18237             0.99817            -0.35242             0.00000             0.00000             1.12784            -0.62784
           813.01023             0.99888            -0.35286             0.00000             0.00000             1.12893            -0.62893
           815.83810             0.99958            -0.35330             0.00000             0.00000             1.13003            -0.63003
           818.66596             1.00029            -0.35373             0.00000             0.00000             1.13112            -0.63112
           821.49382             1.00099            -0.35417             0.00000             0.00000             1.13221            -0.63221
           824.32168             1.00169            -0.35460             0.00000             0.00000             1.13329            -0.63329
           827.14954             1.00239            -0.35503             0.00000             0.00000             1.13438            -0.63438
           829.97740             1.00309            -0.35546             0.00000             0.00000             1.13546            -0.63546
           832.80527             1.00378            -0.35589             0.00000             0.00000             1.13655            -0.63655
           835.63313             1.00448            -0.35632             0.00000             0.00000             1.13763            -0.63763
           838.46099             1.00517            -0.35675             0.00000             0.00000             1.13870            -0.63870
           841.28885             1.00586            -0.35718             0.00000             0.00000             1.13978            -0.63978
           844.11671             1.00655            -0.35760             0.00000             0.00000             1.14085            -0.64085
           846.94458             1.00724            -0.35803             0.00000             0.00000             1.14193            -0.64193
           849.77244             1.00793            -0.35845             0.00000             0.00000             1.14300            -0.64300
           852.60030             1.00861            -0.35888             0.00000             0.00000             1.14407            -0.64407
           855.42816             1.00930            -0.35930             0.00000             0.00000             1.14513            -0.64513
           858.25602             1.00998            -0.35972             0.00000             0.00000             1.14620            -0.64620
           861.08388             1.01066            -0.36014             0.00000             0.00000             1.14726            -0.64726
           863.91175             1.01134            -0.36056             0.00000             0.00000             1.14832            -0.64832
           866.73961             1.01202            -0.36098             0.00000             0.00000             1.14938            -0.64938
           869.56747             1.01270            -0.36140             0.00000             0.00000             1.15044            -0.65044
           872.39533             1.01337            -0.36182             0.00000             0.00000             1.15150            -0.65150
           875.22319             1.01405            -0.36223             0.00000             0.00000             1.15255            -0.65255
           878.05105             1.01472            -0.36265             0.00000             0.00000             1.15361            -0.65361
           880.87892             1.01539            -0.36306             0.00000             0.00000             1.15466            -0.65466
           883.70678             1.01606            -0.36348             0.00000             0.00000             1.15571            -0.65571
           886.53464             1.01673            -0.36389             0.00000             0.00000             1.15676            -0.65676
           889.36250             1.01740            -0.36430             0.00000             0.00000             1.15780            -0.65780
           892.19036             1.01806            -0.36471             0.00000             0.00000             1.15885            -0.65885
           895.01822             1.01873            -0.36512             0.00000             0.00000             1.15989            -0.65989
           897.84609             1.01939            -0.36553             0.00000             0.00000             1.16093            -0.66093
           900.67395             1.02005            -0.36594             0.00000             0.00000             1.16197            -0.66197
           903.50181             1.02071            -0.36634             0.00000             0.00000             1.16301            -0.66301
           906.32967             1.02137            -0.36675             0.00000             0.00000             1.16405            -0.66405
           909.15753             1.02203            -0.36716             0.00000             0.00000             1.16508            -0.66509
           911.98539             1.02269            -0.36756             0.00000             0.00000             1.16612            -0.66612
           914.81326             1.02334            -0.36797             0.00000             0.00000             1.16715            -0.66715
           917.64112             1.02399            -0.36837             0.00000             0.00000             1.16818            -0.66818
           920.46898             1.02465            -0.36877             0.00000             0.00000             1.16921            -0.66921
           923.29684             1.02530            -0.36917             0.00000             0.00000             1.17024            -0.67024
           926.12470             1.02595            -0.36957             0.00000             0.00000             1.17126            -0.67126
           928.95256             1.02660            -0.36997             0.00000             0.00000             1.17229            -0.67229
           931.78043             1.02724            -0.37037             0.00000             0.00000             1.17331            -0.67331
           934.60829             1.02789            -0.37077             0.00000             0.00000             1.17433            -0.67433
           937.43615             1.02854            -0.37117             0.00000             0.00000             1.17535            -0.67535
           940.26401             1.02918            -0.37156             0.00000             0.00000             1.17637            -0.67637
           943.09187             1.02982            -0.37196             0.00000             0.00000             1.17738            -0.67738
           945.91973             1.03046            -0.37235             0.00000             0.00000             1.17840            -0.67840
           948.74760             1.03110            -0.37275             0.00000             0.00000             1.17941            -0.67941
           951.57546             1.03174            -0.37314             0.00000             0.00000             1.18042            -0.68042
           954.40332             1.03238            -0.37353             0.00000             0.00000             1.18143            -0.68143
           957.23118             1.03302            -0.37392             0.00000             0.00000             1.18244            -0.68244
           960.05904             1.03365            -0.37431             0.00000             0.00000             1.18345            -0.68345
           962.88690             1.03429            -0.37470             0.00000             0.00000             1.18446            -0.68446
           965.71477             1.03492            -0.37509             0.00000             0.00000             1.18546            -0.68546
           968.54263             1.03555            -0.37548             0.00000             0.00000             1.18646            -0.68646
           971.37049             1.03618            -0.37587             0.00000             0.00000             1.18746            -0.68746
           974.19835             1.03681            -0.37626             0.00000             0.00000             1.18846            -0.68846
