        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
           306.20250             1.08940            -0.40847             0.00000             0.00000             1.36442            -0.86442
           307.46520             1.09037            -0.40906             0.00000             0.00000             1.36620            -0.86620
           308.72789             1.09133            -0.40965             0.00000             0.00000             1.36797            -0.86797
           309.99058             1.09230            -0.41024             0.00000             0.00000             1.36975            -0.86975
           311.25327             1.09326            -0.41083             0.00000             0.00000             1.37152            -0.87152
           312.51596             1.09422            -0.41141             0.00000             0.00000             1.37328            -0.87328
           313.77865             1.09517            -0.41200             0.00000             0.00000             1.37505            -0.87505
           315.04134             1.09613            -0.41258             0.00000             0.00000             1.37680            -0.87680
           316.30403             1.09708            -0.41316             0.00000             0.00000             1.37856            -0.87856
           317.56672             1.09803            -0.41374             0.00000             0.00000             1.38031            -0.88031
           318.82941             1.09897            -0.41431             0.00000             0.00000             1.38206            -0.88206
           320.09210             1.09992            -0.41489             0.00000             0.00000             1.38380            -0.88380
           321.35479             1.10086            -0.41546             0.00000             0.00000             1.38555            -0.88555
           322.61748             1.10180            -0.41603             0.00000             0.00000             1.38728            -0.88728
           323.88017             1.10273            -0.41660             0.00000             0.00000             1.38902            -0.88902
           325.14287             1.10367            -0.41717             0.00000             0.00000             1.39075            -0.89075
           326.40556             1.10460            -0.41774             0.00000             0.00000             1.39248            -0.89248
           327.66825             1.10553            -0.41831             0.00000             0.00000             1.39420            -0.89420
           328.93094             1.10646            -0.41887             0.00000             0.00000             1.39592            -0.89592
           330.19363             1.10738            -0.41944             0.00000             0.00000             1.39764            -0.89764
           331.45632             1.10830            -0.42000             0.00000             0.00000             1.39936            -0.89936
           332.71901             1.10923            -0.42056             0.00000             0.00000             1.40107            -0.90107
           333.98170             1.11014            -0.42112             0.00000             0.00000             1.40278            -0.90278
           335.24439             1.11106            -0.42168             0.00000             0.00000             1.40448            -0.90448
           336.50708             1.11197            -0.42223             0.00000             0.00000             1.40618            -0.90618
           337.76977             1.11288            -0.42279             0.00000             0.00000             1.40788            -0.90788
           339.03246             1.11379            -0.42334             0.00000             0.00000             1.40958            -0.90958
           340.29515             1.11470            -0.42389             0.00000             0.00000             1.41127            -0.91127
           341.55785             1.11561            -0.42444             0.00000             0.00000             1.41296            -0.91296
           342.82054             1.11651            -0.42499             0.00000             0.00000             1.41464            -0.91464
           344.08323             1.11741            -0.42554             0.00000             0.00000             1.41633            -0.91633
           345.34592             1.11831            -0.42609             0.00000             0.00000             1.41801            -0.91801
           346.60861             1.11920            -0.42663             0.00000             0.00000             1.41968            -0.91968
           347.87130             1.12010            -0.42717             0.00000             0.00000             1.42136            -0.92136
           349.13399             1.12099            -0.42772             0.00000             0.00000             1.42303            -0.92303
           350.39668             1.12188            -0.42826             0.00000             0.00000             1.42470            -0.92470
           351.65937             1.12277            -0.42880             0.00000             0.00000             1.42636            -0.92636
           352.92206             1.12365            -0.42934             0.00000             0.00000             1.42802            -0.92802
           354.18475             1.12454            -0.42987             0.00000             0.00000             1.42968            -0.92968
           355.44744             1.12542            -0.43041             0.00000             0.00000             1.43134            -0.93134
           356.71013             1.12630            -0.43094             0.00000             0.00000             1.43299            -0.93299
           357.97282             1.12718            -0.43148             0.00000             0.00000             1.43464            -0.93464
           359.23552             1.12805            -0.43201             0.00000             0.00000             1.43629            -0.93629
           360.49821             1.12893            -0.43254             0.00000             0.00000             1.43793            -0.93793
           361.76090             1.12980            -0.43307             0.00000             0.00000             1.43957            -0.93957
           363.02359             1.13067            -0.43360             0.00000             0.00000             1.44121            -0.94121
           364.28628             1.13154            -0.43413             0.00000             0.00000             1.44284            -0.94284
           365.54897             1.13240            -0.43465             0.00000             0.00000             1.44448            -0.94448
           366.81166             1.13327            -0.43518             0.00000             0.00000             1.44611            -0.94611
           368.07435             1.13413            -0.43570             0.00000             0.00000             1.44773            -0.94773
           369.33704             1.13499            -0.43622             0.00000             0.00000             1.44936            -0.94936
           370.59973             1.13585            -0.43674             0.00000             0.00000             1.45098            -0.95098
           371.86242             1.13670            -0.43726             0.00000             0.00000             1.45260            -0.95260
           373.12511             1.13756            -0.43778             0.00000             0.00000             1.45421            -0.95421
           374.38780             1.13841            -0.43830             0.00000             0.00000             1.45583            -0.95583
           375.65050             1.13926            -0.43882             0.00000             0.00000             1.45744            -0.95744
           376.91319             1.14011            -0.43933             0.00000             0.00000             1.45905            -0.95905
           378.17588             1.14096            -0.43984             0.00000             0.00000             1.46065            -0.96065
           379.43857             1.14180            -0.44036             0.00000             0.00000             1.46225            -0.96225
           380.70126             1.14265            -0.44087             0.00000             0.00000             1.46385            -0.96385
           381.96395             1.14349            -0.44138             0.00000             0.00000             1.46545            -0.96545
           383.22664             1.14433            -0.44189             0.00000             0.00000             1.46704            -0.96704
           384.48933             1.14517            -0.44240             0.00000             0.00000             1.46864            -0.96864
           385.75202             1.14600            -0.44290             0.00000             0.00000             1.47023            -0.97023
           387.01471             1.14684            -0.44341             0.00000             0.00000             1.47181            -0.97181
           388.27740             1.14767            -0.44391             0.00000             0.00000             1.47340            -0.97340
           389.54009             1.14850            -0.44442             0.00000             0.00000             1.47498            -0.97498
           390.80278             1.14933            -0.44492             0.00000             0.00000             1.47656            -0.97656
           392.06547             1.15016            -0.44542             0.00000             0.00000             1.47813            -0.97813
           393.32817             1.15098            -0.44592             0.00000             0.00000             1.47971            -0.97971
           394.59086             1.15181            -0.44642             0.00000             0.00000             1.48128            -0.98128
           395.85355             1.15263            -0.44692             0.00000             0.00000             1.48285            -0.98285
           397.11624             1.15345            -0.44742             0.00000             0.00000             1.48441            -0.98441
           398.37893             1.15427            -0.44791             0.00000             0.00000             1.48598            -0.98598
           399.64162             1.15509            -0.44841             0.00000             0.00000             1.48754            -0.98754
           400.90431             1.15590            -0.44890             0.00000             0.00000             1.48910            -0.98910
           402.16700             1.15671            -0.44940             0.00000             0.00000             1.49065            -0.99065
           403.42969             1.15753            -0.44989             0.00000             0.00000             1.49221            -0.99221
           404.69238             1.15834            -0.45038             0.00000             0.00000             1.49376            -0.99376
           405.95507             1.15915            -0.45087             0.00000             0.00000             1.49531            -0.99531
           407.21776             1.15995            -0.45136             0.00000             0.00000             1.49686            -0.99686
           408.48045             1.16076            -0.45184             0.00000             0.00000             1.49840            -0.99840
           409.74315             1.16156            -0.45233             0.00000             0.00000             1.49994            -0.99994
           411.00584             1.16237            -0.45282             0.00000             0.00000             1.50148            -1.00148
           412.26853             1.16317            -0.45330             0.00000             0.00000             1.50302            -1.00302
           413.53122             1.16397            -0.45379             0.00000             0.00000             1.50455            -1.00455
           414.79391             1.16476            -0.45427             0.00000             0.00000             1.50609            -1.00609
           416.05660             1.16556            -0.45475             0.00000             0.00000             1.50762            -1.00762
           417.31929             1.16635            -0.45523             0.00000             0.00000             1.50914            -1.00914
           418.58198             1.16715            -0.45571             0.00000             0.00000             1.51067            -1.01067
           419.84467             1.16794            -0.45619             0.00000             0.00000             1.51219            -1.01219
           421.10736             1.16873            -0.45667             0.00000             0.00000             1.51371            -1.01371
           422.37005             1.16952            -0.45714             0.00000             0.00000             1.51523            -1.01523
           423.63274             1.17030            -0.45762             0.00000             0.00000             1.51675            -1.01675
           424.89543             1.17109            -0.45810             0.00000             0.00000             1.51826            -1.01826
           426.15812             1.17187            -0.45857             0.00000             0.00000             1.51977            -1.01977
           427.42082             1.17265            -0.45904             0.00000             0.00000             1.52128            -1.02128
           428.68351             1.17344            -0.45951             0.00000             0.00000             1.52279            -1.02279
           429.94620             1.17421            -0.45999             0.00000             0.00000             1.52430            -1.02430
           431.20889             1.17499            -0.46046             0.00000             0.00000             1.52580            -1.02580
           432.47158             1.17577            -0.46092             0.00000             0.00000             1.52730            -1.02730
           433.73427             1.17654            -0.46139             0.00000             0.00000             1.52880            -1.02880
           434.99696             1.17732            -0.46186             0.00000             0.00000             1.53030            -1.03030
           436.25965             1.17809            -0.46233             0.00000             0.00000             1.53179            -1.03179
           437.52234             1.17886            -0.46279             0.00000             0.00000             1.53328            -1.03328
           438.78503             1.17963            -0.46326             0.00000             0.00000             1.53477            -1.03477
           440.04772             1.18040            -0.46372             0.00000             0.00000             1.53626            -1.03626
           441.31041             1.18116            -0.46418             0.00000             0.00000             1.53775            -1.03775
           442.57310             1.18193            -0.46465             0.00000             0.00000             1.53923            -1.03923
           443.83580             1.18269            -0.46511             0.00000             0.00000             1.54071            -1.04071
           445.09849             1.18345            -0.46557             0.00000             0.00000             1.54219            -1.04219
           446.36118             1.18421            -0.46603             0.00000             0.00000             1.54367            -1.04367
           447.62387             1.18497            -0.46649             0.00000             0.00000             1.54514            -1.04514
           448.88656             1.18573            -0.46694             0.00000             0.00000             1.54662            -1.04662
           450.14925             1.18649            -0.46740             0.00000             0.00000             1.54809            -1.04809
           451.41194             1.18724            -0.46786             0.00000             0.00000             1.54956            -1.04956
           452.67463             1.18799            -0.46831             0.00000             0.00000             1.55102            -1.05102
           453.93732             1.18875            -0.46877             0.00000             0.00000             1.55249            -1.05249
           455.20001             1.18950            -0.46922             0.00000             0.00000             1.55395            -1.05395
           456.46270             1.19025            -0.46967             0.00000             0.00000             1.55541            -1.05541
           457.72539             1.19099            -0.47012             0.00000             0.00000             1.55687            -1.05687
